timestamp,datetime,ax,ay,az,gx,gy,gz,label,frame_id
1770475754.8849254,49:14.9,1.957,19.599,-14.133,-4.3657,4.3656,-4.3657,NONE,202
1770475754.8919172,49:14.9,5.072,12.039,-1.101,2.7003,-3.5292,-2.5646,NONE,203
1770475754.898939,49:14.9,-3.962,10.633,-1.017,-0.3344,0.9761,-4.3657,NONE,204
1770475754.906206,49:14.9,-11.121,6.266,2.428,-0.4178,1.4436,-4.3657,NONE,205
1770475754.9127977,49:14.9,-7.498,9.164,0.993,-0.7324,1.8438,-3.9202,NONE,206
1770475754.9198148,49:14.9,-5.022,9.03,-0.136,-2.6157,0.6059,2.8492,NONE,207
1770475754.9272227,49:14.9,-19.6,-8.525,-0.266,-1.6515,0.3933,-2.8486,NONE,208
1770475754.934325,49:14.9,-7.13,10.429,-2.622,-0.9433,-0.2501,-1.7568,NONE,209
1770475754.9407766,49:14.9,-7.522,7.747,-7.027,-3.6408,-0.2581,3.7286,NONE,210
1770475754.947786,49:14.9,-8.922,2.751,-4.055,-3.3821,0.0282,2.4153,NONE,211
1770475754.955058,49:15.0,-9.814,1.653,2.85,-2.1635,-0.2304,0.5276,NONE,212
1770475754.9618094,49:15.0,-9.41,4.656,2.251,-1.366,-0.7115,-2.2304,NONE,213
1770475754.969066,49:15.0,-7.618,6.97,1.278,-1.0539,-0.7221,-1.1238,NONE,214
1770475754.976357,49:15.0,-7.977,6.905,2.007,-1.1233,-0.4513,-0.0131,NONE,215
1770475754.9829779,49:15.0,-7.742,6.137,2.436,-1.1531,-0.2434,0.7135,NONE,216
1770475754.9897664,49:15.0,-8.257,4.929,3.67,-0.6274,-0.5809,0.757,NONE,217
1770475754.9967268,49:15.0,-8.929,4.338,3.601,0.0469,-0.5937,0.0446,NONE,218
1770475755.003737,49:15.0,-7.489,6.06,0.646,0.4944,-0.9642,-0.6158,NONE,219
1770475755.0106277,49:15.0,-3.67,7.91,8.953,-1.2986,1.4358,0.9515,NONE,220
1770475755.017949,49:15.0,-10.692,3.163,12.365,-1.1603,-1.5529,4.3656,NONE,221
1770475755.0248556,49:15.0,-4.546,2.988,2.517,-0.5792,-1.9016,3.7844,NONE,222
1770475755.0316365,49:15.0,-0.306,5.367,3.436,-0.7621,0.9469,2.8353,NONE,223
1770475755.0387173,49:15.0,-8.19,5.764,7.888,-0.7377,0.0657,4.3656,NONE,224
1770475755.047247,49:15.0,3.17,1.024,-9.46,0.373,-1.5669,4.3656,NONE,225
1770475755.053875,49:15.1,-1.735,4.077,-2.421,1.495,4.3656,-4.3657,NONE,226
1770475755.0613313,49:15.1,-3.412,12.953,-0.912,2.2809,0.9515,-0.7464,NONE,227
1770475755.0677087,49:15.1,-7.513,15.186,-8.209,0.5782,0.2972,3.5186,NONE,228
1770475755.0749166,49:15.1,-8.233,18.454,-8.723,0.7083,0.2276,-0.3535,NONE,229
1770475755.082146,49:15.1,-9.776,15.86,2.194,-0.1982,0.038,-1.1,NONE,230
1770475755.089022,49:15.1,-6.271,9.372,3.603,-0.33,-0.5452,-0.483,NONE,231
1770475755,49:15.1,-3.586,4.491,4.309,-0.0044,-0.9423,-0.472,NONE,232
1770475755.1030123,49:15.1,-1.383,2.749,2.754,1.0996,-0.553,-2.2312,NONE,233
1770475755.1102123,49:15.1,-0.938,5.441,0.263,1.9827,-0.2069,-3.0105,NONE,234
1770475755.116776,49:15.1,-3.773,5.816,-1.337,2.1241,0.5315,-2.6143,NONE,235
1770475755.124204,49:15.1,-12.051,6.12,-3.405,2.8125,-0.8344,-3.6929,NONE,236
1770475755.1321526,49:15.1,17.313,10.049,-3.462,1.6693,-1.014,-1.4197,NONE,237
1770475755.1377296,49:15.1,-6.115,7.206,-1.66,0.9086,-1.6902,0.9646,NONE,238
1770475755.1447845,49:15.1,-2.271,5.52,0.976,-0.3513,-0.3118,0.3199,NONE,239
1770475755.1517851,49:15.2,-9.252,2.129,1.129,-0.3335,-0.4431,0.0807,NONE,240
1770475755.1589065,49:15.2,-8.211,8.309,-0.392,-0.6452,-0.1889,0.6932,NONE,241
1770475755.1665175,49:15.2,-6.173,8.431,-0.407,-0.9722,0.2013,0.4707,NONE,242
1770475755.1744435,49:15.2,-12.896,2.388,2.194,-1.3899,-0.3016,-0.4582,NONE,243
1770475755.1808007,49:15.2,0.773,13.329,-1.694,-1.0404,1.4041,2.9192,NONE,244
1770475755.1877086,49:15.2,-7.979,4.67,3.256,0.0103,0.213,0.064,NONE,245
1770475755.1948633,49:15.2,-6.611,6.058,1.258,0.2847,-0.0811,0.8224,NONE,246
1770475755.2020066,49:15.2,-5.685,6.202,1.605,0.9835,-0.2178,0.6245,NONE,247
1770475755.2086678,49:15.2,-5.783,7.711,2.019,0.8467,0.2585,0.2934,NONE,248
1770475755.2158036,49:15.2,-5.398,9.073,-1.67,0.704,0.037,-0.1745,NONE,249
1770475755.2227612,49:15.2,-6.245,6.919,-1.364,0.487,0.052,-0.5939,NONE,250
1770475755.2298317,49:15.2,-6.807,6.453,0.749,0.6647,-0.3657,0.4211,NONE,251
1770475755.2368824,49:15.2,-5.919,5.809,0.156,0.7035,-0.4509,0.6137,NONE,252
1770475755.2436712,49:15.2,-6.087,7.264,0.818,0.9954,-1.0343,0.827,NONE,253
1770475755.2509975,49:15.3,-2.038,14.021,-3.417,0.2887,-1.5005,-0.6303,NONE,254
1770475755.2578137,49:15.3,-5.429,7.19,-4,-1.0729,0.7542,-1.4538,NONE,255
1770475755.2647119,49:15.3,-7.687,1.206,2.199,1.2628,-1.8819,1.1803,NONE,256
1770475755.2717817,49:15.3,-2.979,8.881,-1.125,1.2646,-0.7877,1.9558,NONE,257
1770475755.278757,49:15.3,-7.75,9.594,5.139,0.5825,-0.0469,0.7469,NONE,258
1770475755.2857306,49:15.3,-6.965,8.836,0.012,0.0085,-0.0277,0.2822,NONE,259
1770475755.293192,49:15.3,-6.943,5.962,1.06,0.6627,-0.4223,0.7807,NONE,260
1770475755.3007338,49:15.3,-7.319,6.204,1.782,2.1129,-0.029,1.4574,NONE,261
1770475755.3075638,49:15.3,-5.711,8.061,1.05,3.8792,-0.073,1.3235,NONE,262
1770475755,49:15.3,-2.821,9.494,-1.507,4.3656,0.3223,-0.383,NONE,263
1770475755.3217428,49:15.3,4.118,12.726,-13.456,4.3656,3.3969,-2.9451,NONE,264
1770475755.3288133,49:15.3,1.713,14.781,-13.499,4.3656,2.5756,-4.3657,NONE,265
1770475755.3357987,49:15.3,6.187,17.765,-17.662,4.3656,3.3942,-4.3657,NONE,266
1770475755.3430793,49:15.3,-3.481,17.961,-11.788,3.8192,3.1784,-2.0022,NONE,267
1770475755.3498437,49:15.3,-4.493,16.954,-9.731,1.3408,1.937,0.8932,NONE,268
1770475755,49:15.4,-8.257,14.918,-7.161,-1.3476,1.2937,3.8023,NONE,269
1770475755.3647711,49:15.4,-11.645,10.879,-2.517,-2.9965,-0.2654,4.3656,NONE,270
1770475755.3712258,49:15.4,-8.391,10.068,-1.184,-4.3657,-1.6633,4.3656,NONE,271
1770475755.3779514,49:15.4,-7.087,19.599,10.869,3.8396,4.3656,-4.3657,NONE,272
1770475755.3851361,49:15.4,-19.6,-19.6,19.599,4.3656,-2.1405,4.3656,NONE,273
1770475755,49:15.4,-19.6,-7.809,5.68,4.3656,-4.3657,4.3656,NONE,274
1770475755.3989482,49:15.4,-19.6,19.599,-19.6,2.6945,4.3656,4.3656,NONE,275
